class,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n
democrat,n,y,y,n,y,y,n,n,n,n,y,n,y,y,n
democrat,n,y,y,n,y,y,n,n,n,n,y,n,y,n,n
democrat,y,y,y,n,y,y,n,n,n,n,y,n,y,y,y
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y
democrat,n,y,n,y,y,y,n,n,n,n,n,n,y,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?
republican,n,y,n,y,y,n,n,n,n,n,n,n,y,y,n
republican,n,y,n,y,y,y,n,n,n,n,y,n,y,y,?
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?
democrat,y,y,y,n,n,y,y,y,n,y,y,n,n,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n
democrat,y,n,y,n,n,y,n,y,n,y,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,n,n,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y
democrat,y,y,y,n,n,y,y,y,n,n,y,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,y,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n
democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n
